After Times?,Start Station Latitude,Start Station Longitude,Start Station Name,Number of Trips
FALSE,42.30412793,-71.07929528,Four Corners - 157 Washington St,297
FALSE,42.33286289,-71.09218862,Whittier St Health Center,299
FALSE,42.31886468,-71.04536798,Geiger Gibson Community Health Center,300
FALSE,42.29175622,-71.0625918,Dorchester Ave at King St,329
FALSE,42.40933007,-71.06381878,*,329
FALSE,42.313917,-71.04025,University of Massachusetts Boston - Integrated Sciences Complex,338
FALSE,42.41034691,-71.05260458,Broadway at Maple St,359
FALSE,42.31930943,-71.09639924,The Dimock Center,380
FALSE,42.3991826,-71.11104455,Ball Sq,383
FALSE,42.38830554,-71.11067977,Craigie at Summer St,389
FALSE,42.2945833,-71.087111,Talbot Ave At Blue Hill Ave,400
FALSE,42.379772,-71.027448,Chelsea St at Saratoga St,435
FALSE,42.2863459,-71.1367213,Belgrade Ave at Walworth St,467
FALSE,42.290333,-71.071806,Washington St at Talbot Ave,477
FALSE,42.30791,-71.080952,Grove Hall Library - 41 Geneva Ave,481
FALSE,42.32854046,-71.08416483,Dudley Square - Dudley St at Warren St,481
FALSE,42.267902,-71.093641,Mattapan T Stop,483
FALSE,42.38353252,-71.01619095,Bennington St at Byron St,488
FALSE,42.39678589,-71.10237297,Somerville Hospital,491
FALSE,42.2996667,-71.0605833,Fields Corner T Stop,496
FALSE,42.35256693,-71.06770543,Boylston St at Arlington St,502
FALSE,42.292917,-71.06575,Shawmut T Stop,535
FALSE,42.387151,-71.075978,18 Dorrance Warehouse,545
FALSE,42.30604563,-71.11570891,Jamaica St at South St,546
FALSE,42.28297568,-71.05466698,Gallivan Blvd at Adams St,548
FALSE,42.300664,-71.060295,Fields Corner T Stop,562
FALSE,42.31786021,-71.07798629,Blue Hill Ave at Southwood St,567
FALSE,42.39782213,-71.1060667,Ball Sq,573
FALSE,42.40231703,-71.12671129,Teele Square,582
FALSE,42.37533523,-71.03131585,Airport T Stop - Bremen St at Brooks St,586
FALSE,42.37544913,-71.03918549,Central Square East Boston,587
FALSE,42.35656092,-71.14167538,Boston Landing,610
FALSE,42.380998,-71.08721308,Washington St at Myrtle St,617
FALSE,42.38445226,-71.07514855,Sullivan Square,637
FALSE,42.38522394,-71.01063069,Bennington St at Constitution Beach,652
FALSE,42.28630716,-71.12820532,Roslindale Village - Washington St,668
FALSE,42.39915589,-71.11102574,Ball Sq,689
FALSE,42.40725945,-71.05546381,Everett Square (Broadway at Chelsea St),695
FALSE,42.303469,-71.085347,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,723
FALSE,42.2856944,-71.0641389,Ashmont T Stop,731
FALSE,42.309572,-71.0729,Columbia Rd at Ceylon St,738
FALSE,42.39329263,-71.0724476,Encore,750
FALSE,42.2873611,-71.071111,Codman Square Library,760
FALSE,42.370744,-71.044201,The Eddy - New St at Sumner St,766
FALSE,42.309796,-71.092225,*,784
FALSE,42.39790817,-71.14797131,Discovery Park - 30 Acorn Park Drive,797
FALSE,42.32538436,-71.12177596,High St at Cypress St,805
FALSE,42.29266593,-71.12119539,Archdale Rd at Washington St,823
FALSE,42.324081,-71.083235,Walnut Ave at Warren St,839
FALSE,42.33671641,-71.06880777,Boston Medical Center - E Concord St at Harrison Ave,853
FALSE,42.36178741,-71.14393111,Western Ave at Richardson St,856
FALSE,42.38828873,-71.1107146,Craigie at Summer St,905
FALSE,42.287072,-71.127754,Roslindale Village - South St,934
FALSE,42.38363402,-71.10855814,Craigie at Summer St,989
FALSE,42.32039374,-71.05355408,Sydney St at Carson St,994
FALSE,42.325333,-71.075354,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,1020
FALSE,42.406302,-71.132446,Clarendon Hill at Broadway,1020
FALSE,42.316902,-71.091946,NCAAA - Walnut Ave at Crawford St,1025
FALSE,42.386781,-71.006098,Orient Heights T Stop - Bennington St at Saratoga St,1039
FALSE,42.37407974,-71.03276393,Airport T Stop - Bremen St at Brooks St,1101
FALSE,42.39189812,-71.09745376,Somerville City Hall Annex,1128
FALSE,42.31869734,-71.06978148,*,1140
FALSE,42.3983606,-71.06373843,Broadway at Beacham St,1169
FALSE,42.32784318,-71.12536222,Cypress St at Clark Playground,1195
FALSE,42.40203828,-71.12653292,Teele Square,1298
FALSE,42.31727474,-71.06537004,*,1321
FALSE,42.37959526,-71.09530799,Union Square - Somerville,1335
FALSE,42.35212612,-71.07599601,Copley Square - Dartmouth St at Boylston St,1369
FALSE,42.3106,-71.0539,Savin Hill T Stop - S Sydney St at Bay St,1371
FALSE,42.38170676,-71.08377187,Washington St at Myrtle St,1380
FALSE,42.30785224,-71.06512249,Bowdoin St at Quincy St,1387
FALSE,42.37331213,-71.04102008,Boston East - 126 Border St,1407
FALSE,42.31787329,-71.08243078,Roxbury YMCA - Warren St at MLK Blvd,1446
FALSE,42.315692,-71.098634,Egleston Square - Atherton St at Washington St,1473
FALSE,42.38169983,-71.08377589,Washington St at Myrtle St,1520
FALSE,42.3977834,-71.10594005,Magoun Square at Trum Field,1522
FALSE,42.3936,-71.143941,84 Cambridgepark Dr,1531
FALSE,42.356755,-71.055407,Post Office Square - Pearl St at Milk St,1534
FALSE,42.369536,-71.039431,East Boston Neighborhood Health Center - 20 Maverick Square,1536
FALSE,42.33209606,-71.12845883,Tappan St at Brookline Hills MBTA,1541
FALSE,42.39044949,-71.1085595,Somerville Hospital,1549
FALSE,42.35276621,-71.15988486,Faneuil St at Arlington St,1573
FALSE,42.39088802,-71.1096257,Somerville Hospital,1600
FALSE,42.31218919,-71.03648586,University of Massachusetts Boston - Campus Center,1729
FALSE,42.36489293,-71.03497177,Piers Park,1795
FALSE,42.34895285,-71.16031677,Washington St at Brock St,1796
FALSE,42.39648358,-71.0654676,Broadway at Lynde St,1804
FALSE,42.385582,-71.113341,Wilson Square,1837
FALSE,42.35057,-71.166491,Oak Square - 615 Washington St,1845
FALSE,42.36314499,-71.12298574,Innovation Lab - 125 Western Ave at Batten Way,1879
FALSE,42.37967148,-71.0954931,Union Square - Somerville,1904
FALSE,42.33833424,-71.1305093,Washington St at Griggs Rd,1905
FALSE,42.34854543,-71.06559185,Shawmut Ave at Oak St W,1930
FALSE,42.335693,-71.045859,W Broadway at Dorchester St,1951
FALSE,42.32143814,-71.09126061,MLK Blvd at Washington St,1959
FALSE,42.38078817,-71.15412891,700 Huron Ave,1978
FALSE,42.34404051,-71.05737627,Dorchester Ave at Gillette Park,2101
FALSE,42.320561,-71.06198,E Cottage St at Columbia Rd,2118
FALSE,42.377022,-71.056605,Hayes Square - Vine St at Moulton St,2128
FALSE,42.38267828,-71.14347895,Fresh Pond Reservation,2152
FALSE,42.38717463,-71.08714389,Edgerly Education Center,2155
FALSE,42.38393225,-71.13961272,Vassal Lane at Tobin/VLUS,2214
FALSE,42.34024645,-71.15168806,Commonwealth Ave at Chiswick Rd,2318
FALSE,42.317642,-71.056664,Ryan Playground - Dorchester Ave at Harbor View St,2375
FALSE,42.36616224,-71.08688294,Binney St / Sixth St,2442
FALSE,42.32984299,-71.08386573,*,2500
FALSE,42.306539,-71.107669,Williams St at Washington St,2517
FALSE,42.34474225,-71.07648162,Columbus Ave at W. Canton St,2678
FALSE,42.398365,-71.107818,Magoun Square at Trum Field,2708
FALSE,42.36884408,-71.03977829,Maverick Square - Lewis Mall,2738
FALSE,42.392766,-71.129042,Rindge Avenue - O'Neill Library,2771
FALSE,42.3294633,-71.0901582,Bartlett St at John Elliot Sq,2837
FALSE,42.36435589,-71.06959369,Blossom St at Charles St,2850
FALSE,42.363732,-71.124565,Innovation Lab - 125 Western Ave at Batten Way,2866
FALSE,42.3525878,-71.06764905,Boylston St at Arlington St,2889
FALSE,42.35872531,-71.07079532,Charles St at Pinckney St,2916
FALSE,42.33554308,-71.1506152,Cleveland Circle,2931
FALSE,42.39108438,-71.09039426,Foss Park,3011
FALSE,42.33299892,-71.11634426,*,3072
FALSE,42.38762811,-71.08318716,East Somerville Library (Broadway and Illinois),3107
FALSE,42.3121203,-71.1142981,Centre St at Seaverns Ave,3125
FALSE,42.38567579,-71.11412136,Wilson Square,3150
FALSE,42.33978053,-71.1213335,Marion St at Harvard St,3171
FALSE,42.388966,-71.132788,Danehy Park,3203
FALSE,42.34303291,-71.0668873,Washington St at Peters Park,3253
FALSE,42.39223284,-71.07746601,Assembly Square T,3271
FALSE,42.332817,-71.081198,Washington St at Melnea Cass Blvd,3318
FALSE,42.34960945,-71.10391524,700 Commonwealth Ave.,3384
FALSE,42.36041775,-71.05752244,*,3386
FALSE,42.35732922,-71.1467354,New Balance - 20 Guest St,3407
FALSE,42.3951715,-71.09850592,Broadway at Central St,3419
FALSE,42.33274392,-71.11626681,Brookline Village - Station Street at MBTA,3424
FALSE,42.38952436,-71.1169414,Elm St at White St,3442
FALSE,42.32033974,-71.05118036,JFK/UMass T Stop,3456
FALSE,42.32760387,-71.1108917,S Huntington Ave at Heath St,3486
FALSE,42.344827,-71.028664,ID Building East,3486
FALSE,42.309054,-71.11543,Curtis Hall - South St at Centre St,3503
FALSE,42.400877,-71.116772,Powder House Circle - Nathan Tufts Park,3581
FALSE,42.396105,-71.139459,Alewife Station at Russell Field,3661
FALSE,42.38042947,-71.06055722,Medford St at Charlestown BCYF,3690
FALSE,42.33376473,-71.12046447,Brookline Town Hall,3696
FALSE,42.40449,-71.123413,Packard Ave at Powderhouse Blvd,3705
FALSE,42.326599,-71.066498,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,3707
FALSE,42.33023071,-71.05060093,Columbia Rd at Tierney Community Center,3779
FALSE,42.3334,-71.02495,Farragut Rd at E. 6th St,3786
FALSE,42.34286835,-71.14127841,Washington St at Egremont Rd,3878
FALSE,42.300923,-71.114249,Forest Hills,3902
FALSE,42.38165061,-71.13426982,Huron Ave At Vassal Lane,3916
FALSE,42.341522,-71.068922,Washington St at Waltham St,3925
FALSE,42.39558846,-71.14260614,Alewife MBTA at Steel Place,4025
FALSE,42.33047365,-71.05701685,Andrew T Stop - Dorchester Ave at Dexter St,4079
FALSE,42.33949454,-71.08020781,Massachusetts Ave at Columbus Ave,4099
FALSE,42.3796581,-71.0939428,Union Square - Somerville,4103
FALSE,42.37500235,-71.14871614,699 Mt Auburn St,4141
FALSE,42.346563,-71.128374,JFK Crossing at Harvard St. / Thorndike St.,4214
FALSE,42.38614141,-71.0782814,Broadway St at Mt Pleasant St,4251
FALSE,42.34155985,-71.06886953,Washington St at Waltham St,4287
FALSE,42.34157472,-71.0689044,Washington St at Waltham St,4301
FALSE,42.34776345,-71.04535997,Boston Convention and Exhibition Center - Summer St at West Side Dr,4301
FALSE,42.378965,-71.068607,Edwards Playground - Main St at Eden St,4331
FALSE,42.39120972,-71.12260755,Mass Ave at Hadley/Walden,4335
FALSE,42.37478629,-71.13320231,Mt Auburn,4403
FALSE,42.35205477,-71.07048687,Boylston St at Arlington St,4416
FALSE,42.380857,-71.070629,Main St at Baldwin St,4448
FALSE,42.34734473,-71.10016808,*,4456
FALSE,42.350413,-71.07655,*,4553
FALSE,42.34894857,-71.15027189,Brighton Center - Washington St at Cambridge St,4806
FALSE,42.36912158,-71.11638672,Harvard University River Houses at DeWolfe St / Cowperthwaite St,4959
FALSE,42.33664795,-71.0689446,Albany St at E. Brookline St,4972
FALSE,42.35585436,-71.05459746,Post Office Square,5006
FALSE,42.37967448,-71.09391324,Union Square - Somerville,5045
FALSE,42.316966,-71.104374,Stony Brook T Stop,5046
FALSE,42.37487847,-71.06383499,Main St at Thompson Sq,5184
FALSE,42.36027371,-71.12852452,Honan Library,5187
FALSE,42.336448,-71.023739,Murphy Skating Rink - 1880 Day Blvd,5249
FALSE,42.36154571,-71.13776207,Brighton Mills - 370 Western Ave,5314
FALSE,42.3529457,-71.05656401,Surface Rd at Summer St,5338
FALSE,42.3382668,-71.13894682,Beacon St at Tappan St,5360
FALSE,42.34135616,-71.08336954,Mass Ave T Station,5391
FALSE,42.36769018,-71.07116282,Museum of Science,5392
FALSE,42.37207658,-71.08995434,Berkshire Street at Cambridge Street,5477
FALSE,42.3494261,-71.0620996,Harrison Ave at Bennet St,5534
FALSE,42.3481,-71.03764,Congress St at Northern Ave,5561
FALSE,42.310579,-71.107341,Green Street T Stop - Green St at Amory St,5609
FALSE,42.33639915,-71.07306711,Boston Medical Center - E Concord St at Harrison Ave,5729
FALSE,42.3598254,-71.05979576,Government Center - Cambridge St at Court St,5736
FALSE,42.33509899,-71.07903779,Washington St at Lenox St,5789
FALSE,42.344796,-71.031614,ID Building West,5804
FALSE,42.35339051,-71.0445714,Fan Pier,5828
FALSE,42.34954403,-71.07242074,Stuart St at Berkeley St,5884
FALSE,42.37408991,-71.06905997,Bunker Hill Community College,5909
FALSE,42.343749,-71.062256,Troy Boston,6029
FALSE,42.386844,-71.09812,Somerville City Hall,6080
FALSE,42.32176526,-71.10984161,Hyde Square - Barbara St at Centre St,6095
FALSE,42.36955298,-71.08579015,Kennedy-Longfellow School 158 Spring St,6247
FALSE,42.32293117,-71.10014141,Jackson Square T Stop,6386
FALSE,42.360185,-71.07086598,Charles Circle - Charles St at Cambridge St,6411
FALSE,42.36550729,-71.0801376,75 Binney St,6541
FALSE,42.38674802,-71.11901879,Lesley University,6578
FALSE,42.35204262,-71.0705781,Boylston St at Arlington St,6622
FALSE,42.38032335,-71.10878613,191 Beacon St,6653
FALSE,42.34278116,-71.05747275,Broadway T Stop,6848
FALSE,42.34835863,-71.13997217,Commonwealth Ave at Kelton St,6909
FALSE,42.378338,-71.048927,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,6980
FALSE,42.34881026,-71.04167744,Seaport Hotel - Congress St at Seaport Ln,7029
FALSE,42.37150494,-71.07249312,Child St at North St,7039
FALSE,42.3339227,-71.10446509,One Brigham Circle,7063
FALSE,42.345901,-71.063187,Ink Block - Harrison Ave at Herald St,7091
FALSE,42.375603,-71.064608,Main St at Austin St,7214
FALSE,42.344792,-71.044024,The Lawn on D,7439
FALSE,42.36575798,-71.07699394,Rogers St & Land Blvd,7510
FALSE,42.33758601,-71.09627098,Wentworth Institute of Technology - Huntington Ave at Vancouver St,7527
FALSE,42.34254914,-71.07421449,Tremont St at W. Dedham St,7559
FALSE,42.33658556,-71.09886997,Huntington Ave at Mass Art,7579
FALSE,42.37927325,-71.10341903,Perry Park,7583
FALSE,42.36125722,-71.06528744,Cambridge St at Joy St,7624
FALSE,42.36224179,-71.08311072,One Broadway / Kendall Sq at Main St / 3rd St,7714
FALSE,42.34054262,-71.08138848,*,7740
FALSE,42.36590788,-71.06446669,West End Park,7768
FALSE,42.351146,-71.066289,Stuart St at Charles St,7791
FALSE,42.36608797,-71.08633604,Binney St / Sixth St,7864
FALSE,42.33595898,-71.046229,W Broadway at Dorchester St,7969
FALSE,42.35114198,-71.07329249,Boylston St at Berkeley St,8014
FALSE,42.335741,-71.03877,South Boston Library - 646 E Broadway,8045
FALSE,42.36161932,-71.08043551,One Memorial Drive,8089
FALSE,42.3510045,-71.04930013,Congress St at Sleeper St,8223
FALSE,42.35155309,-71.07569031,Clarendon St at Newbury St,8291
FALSE,42.34740621,-71.08678415,Boylston St at Massachusetts Ave,8407
FALSE,42.33462893,-71.10407918,Brigham Circle - Francis St at Huntington Ave,8647
FALSE,42.397828,-71.130516,Linear Park - Mass. Ave. at Cameron Ave.,8792
FALSE,42.39638681,-71.12011306,Grove St at Community Path,8807
FALSE,42.3388956,-71.08149976,Tremont St at Northampton St,9020
FALSE,42.36426344,-71.1182757,Soldiers Field Park - 111 Western Ave,9029
FALSE,42.344137,-71.052608,State Street at Channel Center,9076
FALSE,42.37842,-71.105668,Beacon St at Washington / Kirkland,9142
FALSE,42.34953017,-71.13022771,Harvard Ave at Brainerd Rd,9191
FALSE,42.362811,-71.056067,Cross St at Hanover St,9224
FALSE,42.35980252,-71.05960783,Government Center - Cambridge St at Court St,9376
FALSE,42.353334,-71.137313,Union Square - Brighton Ave at Cambridge St,9424
FALSE,42.34922469,-71.13275303,*,9430
FALSE,42.380287,-71.125107,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,9440
FALSE,42.356052,-71.069849,Beacon St at Charles St,9465
FALSE,42.39407224,-71.11133695,Community Path at Cedar Street,9541
FALSE,42.34619708,-71.10728681,St Mary's,9542
FALSE,42.34011512,-71.10061884,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,9703
FALSE,42.36919032,-71.11714125,Harvard University River Houses at DeWolfe St / Cowperthwaite St,9720
FALSE,42.37250865,-71.11305356,Verizon Innovation Hub 10 Ware Street,9733
FALSE,42.369885,-71.069957,EF - North Point Park,9745
FALSE,42.35154735,-71.12126246,Commonwealth Ave At Babcock St,9814
FALSE,42.34521562,-71.06384032,Harrison Ave at Mullins Way,9853
FALSE,42.35182807,-71.06781138,Park Plaza at Charles St S.,10003
FALSE,42.383405,-71.107593,Conway Park - Somerville Avenue,10218
FALSE,42.35533502,-71.05822917,Arch St at Franklin St,10423
FALSE,42.354659,-71.053181,Purchase St at Pearl St,10455
FALSE,42.341332,-71.076847,South End Library - Tremont St at W Newton St,10532
FALSE,42.38100143,-71.10402523,30 Dane St,10539
FALSE,42.345733,-71.100694,Burlington Ave at Brookline Ave,10680
FALSE,42.36356016,-71.08216792,Kendall Street,10936
FALSE,42.347265,-71.088088,Boylston St at Massachusetts Ave,10949
FALSE,42.34827839,-71.08044855,Ring Rd,11072
FALSE,42.341814,-71.090179,Northeastern University - North Parking Lot,11092
FALSE,42.379011,-71.119945,Harvard Law School at Mass Ave / Jarvis St,11385
FALSE,42.3391085,-71.0514432,W Broadway at D St,11424
FALSE,42.351586,-71.04569256,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,11504
FALSE,42.36860524,-71.09930186,*,11611
FALSE,42.331184,-71.095171,Roxbury Crossing T Stop - Columbus Ave at Tremont St,11704
FALSE,42.366621,-71.114214,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,11734
FALSE,42.376369,-71.114025,*,11806
FALSE,42.37412455,-71.054812,Charlestown Navy Yard,11841
FALSE,42.36178044,-71.10809952,Dana Park,12020
FALSE,42.363796,-71.129164,175 N Harvard St,12162
FALSE,42.345392,-71.069616,Tremont St at E Berkeley St,12273
FALSE,42.351356,-71.059367,Chinatown Gate Plaza,12315
FALSE,42.34958942,-71.07946779,Boylston St at Exeter St,12364
FALSE,42.37119728,-71.09759867,Cambridge Dept. of Public Works -147 Hampshire St.,12382
FALSE,42.36544486,-71.08277142,Third at Binney,12663
FALSE,42.358155,-71.052163,Surface Rd at India St,12674
FALSE,42.3577531,-71.10393405,*,12817
FALSE,42.347241,-71.105301,Park Dr at Buswell St,12919
FALSE,42.377945,-71.116865,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,12946
FALSE,42.349496,-71.10057592,Silber Way,13588
FALSE,42.372969,-71.094445,Cambridge St - at Columbia St / Webster Ave,13652
FALSE,42.357143,-71.050699,Rowes Wharf at Atlantic Ave,13661
FALSE,42.36346469,-71.10057324,Lafayette Square at Mass Ave / Main St / Columbia St,13771
FALSE,42.36121165,-71.0653062,Cambridge St at Joy St,13805
FALSE,42.373379,-71.111075,Cambridge Main Library at Broadway / Trowbridge St,13822
FALSE,42.354979,-71.063348,Tremont St at West St,13846
FALSE,42.35096144,-71.07782811,Dartmouth St at Newbury St,13934
FALSE,42.366981,-71.076472,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,14321
FALSE,42.3636929,-71.0875672,Ames St at Broadway,14445
FALSE,42.37438409,-71.10015746,Inman Square at Springfield St.,15076
FALSE,42.33741749,-71.10286117,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,15120
FALSE,42.34652004,-71.08065777,*,15172
FALSE,42.36599433,-71.09522222,Harvard St at Greene-Rose Heritage Park,15307
FALSE,42.396969,-71.123024,Davis Square,15315
FALSE,42.35668335,-71.06166646,Tremont St at Hamilton Pl,15441
FALSE,42.3722168,-71.12188071,Harvard Kennedy School at Bennett St / Eliot St,15491
FALSE,42.373231,-71.120886,Harvard Square at Brattle St / Eliot St,16045
FALSE,42.370803,-71.104412,359 Broadway - Broadway at Fayette Street,16275
FALSE,42.352409,-71.062679,Chinatown T Stop,16499
FALSE,42.387995,-71.119084,Porter Square Station,16562
FALSE,42.341598,-71.123338,Coolidge Corner - Beacon St at Centre St,17247
FALSE,42.338629,-71.1065,Longwood Ave at Binney St,17647
FALSE,42.371848,-71.060292,Warren St at Chelsea St,17971
FALSE,42.36079297,-71.07118962,Charles Circle - Charles St at Cambridge St,18033
FALSE,42.348706,-71.097009,Kenmore Square,18036
FALSE,42.35991176,-71.05142981,Aquarium T Stop - 200 Atlantic Ave,18204
FALSE,42.350406,-71.108279,B.U. Central - 725 Comm. Ave.,18292
FALSE,42.33624445,-71.08798564,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,18401
FALSE,42.35317809,-71.04817357,Seaport Blvd at Sleeper St,18477
FALSE,42.363871,-71.050877,Lewis Wharf at Atlantic Ave,18636
FALSE,42.348762,-71.082383,Boylston St at Fairfield St,18895
FALSE,42.348717,-71.085954,Newbury St at Hereford St,19142
FALSE,42.34924377,-71.0972821,Deerfield St at Commonwealth Ave,19178
FALSE,42.36254854,-71.05737358,Boston Public Market,19548
FALSE,42.352261,-71.123831,Packard's Corner - Commonwealth Ave at Brighton Ave,20067
FALSE,42.35148194,-71.04436085,Seaport Square - Seaport Blvd at Northern Ave,20138
FALSE,42.3572185,-71.11387163,Lower Cambridgeport at Magazine St / Riverside Rd,20316
FALSE,42.34992828,-71.07739207,Copley Square - Dartmouth St at Boylston St,20507
FALSE,42.35553629,-71.07286871,Mugar Way at Beacon St,20735
FALSE,42.370677,-71.076529,Lechmere Station at Cambridge St / First St,20943
FALSE,42.35892,-71.057629,Boston City Hall - 28 State St,20979
FALSE,42.3385146,-71.07404083,Washington St at Rutland St,21209
FALSE,42.36264779,-71.10006094,University Park,21453
FALSE,42.36135838,-71.09670274,Mass Ave at Albany St,22251
FALSE,42.35169202,-71.11903489,Commonwealth Ave at Agganis Way,22300
FALSE,42.35082681,-71.08981088,Beacon St at Massachusetts Ave,22563
FALSE,42.366426,-71.105495,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,24998
FALSE,42.34807412,-71.07657015,Back Bay T Stop - Dartmouth St at Stuart St,25218
FALSE,42.366277,-71.09169,One Kendall Square at Hampshire St / Portland St,25326
FALSE,42.34465063,-71.09732501,Boylston St at Jersey St,26482
FALSE,42.34366583,-71.08582377,Christian Science Plaza - Massachusetts Ave at Westland Ave,28180
FALSE,42.35560121,-71.10394478,MIT Vassar St,32035
FALSE,42.3595732,-71.10129476,MIT Pacific St at Purrington St,36660
FALSE,42.373268,-71.118579,Harvard Square at Mass Ave/ Dunster,37235
FALSE,42.36242784,-71.08495474,Kendall T,38890
FALSE,42.365673,-71.064263,Nashua Street at Red Auerbach Way,39357
FALSE,42.3625,-71.08822,Ames St at Main St,43148
FALSE,42.352175,-71.055547,South Station - 700 Atlantic Ave,45714
FALSE,42.36213123,-71.09115601,MIT Stata Center at Vassar St / Main St,49395
FALSE,42.36507,-71.1031,Central Square at Mass Ave / Essex St,54121
FALSE,42.3581,-71.093198,MIT at Mass Ave / Amherst St,64513
